inchikey14,metric_ik14,n_libs,n_spectra,libs
AARRLOSQJDGTRZ,AARRLOSQJDGTRZ,1,4,enveda-180
AARUCYYDFNVJCO,AARUCYYDFNVJCO,1,7,enveda-180
AARVOUIICJIUNK,AARVOUIICJIUNK,1,4,enveda-180
AARWKOGHWSILMA,AARWKOGHWSILMA,1,8,enveda-180
AARXMRRIHQKKME,AARXMRRIHQKKME,1,3,spectraverse
AASDQNDVQKUUKZ,AASDQNDVQKUUKZ,1,14,enveda-180
AASITNKNVUXRLF,AASITNKNVUXRLF,1,8,enveda-180
AASIYTPJJXHZJS,AASIYTPJJXHZJS,3,12,pluskal_ms2;enveda-180;gnps
AASJTZPPBPPOFE,AASJTZPPBPPOFE,1,4,enveda-180
AASLFELHFOYXIN,AASLFELHFOYXIN,1,8,pluskal_ms2
AASMLLDKMITLRF,AASMLLDKMITLRF,1,3,gnps
AASMWLDYWGXFHI,AASMWLDYWGXFHI,1,1,gnps
AASMXOGHUKJKAB,AASMXOGHUKJKAB,1,6,enveda-180
AASPGTOXCQXNOQ,AASPGTOXCQXNOQ,1,5,pluskal_ms2
AASPJVSSGHFYEZ,AASPJVSSGHFYEZ,1,13,pluskal_ms2
AASPQFRZXBVYEH,AASPQFRZXBVYEH,1,7,enveda-180
AASPWBDADOFHKF,AASPWBDADOFHKF,1,4,enveda-180
AASURCLIFUXWTB,AASURCLIFUXWTB,1,7,enveda-180
AASVNUQHWNGPES,AASVNUQHWNGPES,1,3,enveda-180
AATBQUUGWKGGFG,AATBQUUGWKGGFG,1,4,enveda-180
AATCBLYHOUOCTO,AATCBLYHOUOCTO,1,1,massbank
AATFJKDKONKNFA,AATFJKDKONKNFA,1,5,enveda-180
AATFRFZETLLOPL,AATFRFZETLLOPL,1,8,enveda-180
AATHCBXNJGGAPL,AATHCBXNJGGAPL,1,14,enveda-180
AATHXZYXWMKUFC,AATHXZYXWMKUFC,1,7,gnps
AATLZFKYNQJCPG,AATLZFKYNQJCPG,1,12,enveda-180
AATMBCAUUOEBOM,AATMBCAUUOEBOM,1,11,enveda-180
AATMLEKDYCJIDE,AATMLEKDYCJIDE,1,7,enveda-180
AATNJWXJPJWZJO,AATNJWXJPJWZJO,1,13,pluskal_ms2
AATNYMBROJLHLB,AATNYMBROJLHLB,1,4,enveda-180
AATPXGUZXSHTNY,AATPXGUZXSHTNY,1,2,enveda-180
AATPYXMXFBBKFO,AATPYXMXFBBKFO,1,6,pluskal_ms2
