inchikey14,metric_ik14,n_other_libs,n_other_spectra,other_libs
SDIVYZXRQHWCKF,SDIVYZXRQHWCKF,6,160,gnps;massbank;mona;msdial;pluskal_ms2;riken
MBRLOUHOWLUMFF,MBRLOUHOWLUMFF,6,158,gnps;massbank;mona;msdial;pluskal_ms2;riken
ZZVUWRFHKOJYTH,ZZVUWRFHKOJYTH,8,156,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
MBNGWHIJMBWFHU,MBNGWHIJMBWFHU,7,154,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
BDCDNTVZSILEOY,BDCDNTVZSILEOY,6,153,gnps;massbank;mona;msdial;pluskal_ms2;riken
XRWQBDJPMXRDOQ,XRWQBDJPMXRDOQ,2,153,pluskal_ms2;riken
KBDSLGBFQAGHBE,KBDSLGBFQAGHBE,5,148,gnps;mona;msdial;pluskal_ms2;riken
DFMAXQKDIGCMTL,DFMAXQKDIGCMTL,6,143,gnps;massbank;mona;msdial;pluskal_ms2;riken
YKRGDOXKVOZESV,YKRGDOXKVOZESV,7,141,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
SHIBSTMRCDJXLN,SHIBSTMRCDJXLN,7,141,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
HYBRYAPKQCZIAE,HYBRYAPKQCZIAE,6,140,gnps;massbank;mona;msdial;pluskal_ms2;riken
CJDRUOGAGYHKKD,CJDRUOGAGYHKKD,7,138,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
CLEXYFLHGFJONT,CLEXYFLHGFJONT,6,136,gnps;massbank;mona;msdial;pluskal_ms2;riken
DOFJNFPSMUCECH,DOFJNFPSMUCECH,5,135,gnps;mona;msdial;pluskal_ms2;riken
ALEXXDVDDISNDU,XNMUPDICNYMLBM,7,134,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
QJPCKAJTLHDNCS,QJPCKAJTLHDNCS,2,132,pluskal_ms2;riken
MALFODICFSIXPO,MALFODICFSIXPO,6,129,gnps;massbank;mona;msdial;pluskal_ms2;riken
RONZAEMNMFQXRA,RONZAEMNMFQXRA,8,126,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
ORJVQPIHKOARKV,ORJVQPIHKOARKV,6,124,gnps;massbank;mona;msdial;pluskal_ms2;riken
IPVQLZZIHOAWMC,IPVQLZZIHOAWMC,8,124,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
VAOCPAMSLUNLGC,VAOCPAMSLUNLGC,8,123,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
MKUXAQIIEYXACX,MKUXAQIIEYXACX,8,122,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
KTZNZCYTXQYEHT,KTZNZCYTXQYEHT,4,122,massbank;mona;msdial;riken
CKEXCBVNKRHAMX,CKEXCBVNKRHAMX,5,120,gnps;massbank;msdial;pluskal_ms2;riken
OZWKMVRBQXNZKK,OZWKMVRBQXNZKK,8,116,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
DBEPLOCGEIEOCV,DBEPLOCGEIEOCV,8,116,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
ZHSOTLOTTDYIIK,ZHSOTLOTTDYIIK,6,115,gnps;massbank;mona;msdial;pluskal_ms2;riken
ZTHLHHDJRXJGRX,ZTHLHHDJRXJGRX,5,114,gnps;mona;msdial;pluskal_ms2;riken
NWBJYWHLCVSVIJ,NWBJYWHLCVSVIJ,6,113,gnps;massbank;mona;msdial;pluskal_ms2;riken
GBXSMTUPTTWBMN,GBXSMTUPTTWBMN,8,110,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
ZBHUUXLHDOUMKM,ZBHUUXLHDOUMKM,5,110,gnps;mona;msdial;pluskal_ms2;riken
HGJXAVROWQLCTP,HGJXAVROWQLCTP,5,108,gnps;mona;msdial;pluskal_ms2;riken
WOXKDUGGOYFFRN,WOXKDUGGOYFFRN,8,108,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
XGYIMTFOTBMPFP,XGYIMTFOTBMPFP,6,106,gnps;massbank;mona;msdial;pluskal_ms2;riken
XVPBINOPNYFXID,XVPBINOPNYFXID,6,105,drug_plus;gnps;mona;msdial;pluskal_ms2;riken
RYMZZMVNJRMUDD,RYMZZMVNJRMUDD,8,103,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
GRBXNADBNJGZRK,GRBXNADBNJGZRK,6,103,gnps;massbank;mona;msdial;pluskal_ms2;riken
HDACQVRGBOVJII,HDACQVRGBOVJII,8,103,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
HUSISCNTLUEZCN,HUSISCNTLUEZCN,5,102,massbank;mona;msdial;pluskal_ms2;riken
GYSCAQFHASJXRS,GYSCAQFHASJXRS,6,101,gnps;massbank;mona;msdial;pluskal_ms2;riken
ACNHBCIZLNNLRS,ACNHBCIZLNNLRS,6,101,drug_plus;gnps;massbank;mona;pluskal_ms2;riken
ZJTJUVIJVLLGSP,ZJTJUVIJVLLGSP,8,99,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
XKLMZUWKNUAPSZ,XKLMZUWKNUAPSZ,8,99,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
VHBFFQKBGNRLFZ,VHBFFQKBGNRLFZ,7,99,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
PHLBKPHSAVXXEF,PHLBKPHSAVXXEF,8,99,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
RCFGIEPQSDGMJJ,RCFGIEPQSDGMJJ,5,96,gnps;mona;msdial;pluskal_ms2;riken
OGWKCGZFUXNPDA,OGWKCGZFUXNPDA,7,93,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
JXLYSJRDGCGARV,JXLYSJRDGCGARV,7,92,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
RXGUTQNKCXHALN,RXGUTQNKCXHALN,6,92,gnps;massbank;mona;msdial;pluskal_ms2;riken
DWTTZBARDOXEAM,DWTTZBARDOXEAM,7,91,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
SEEGHKWOBVVBTQ,SEEGHKWOBVVBTQ,6,90,gnps;massbank;mona;msdial;pluskal_ms2;riken
SLYDIPAXCVVRNY,SLYDIPAXCVVRNY,6,89,gnps;massbank;mona;msdial;pluskal_ms2;riken
ADEBPBSSDYVVLD,ADEBPBSSDYVVLD,8,88,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
YZMKFMIZNSOPSN,YZMKFMIZNSOPSN,2,87,pluskal_ms2;riken
KQNZDYYTLMIZCT,KQNZDYYTLMIZCT,6,87,drug_plus;gnps;massbank;mona;msdial;riken
LZFZMUMEGBBDTC,LZFZMUMEGBBDTC,8,86,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
XJLATMLVMSFZBN,XJLATMLVMSFZBN,6,86,drug_plus;gnps;mona;msdial;pluskal_ms2;riken
RWQKHEORZBHNRI,RWQKHEORZBHNRI,6,85,gnps;massbank;mona;msdial;pluskal_ms2;riken
SNGHLUWTFLYPMT,KLWSYWJRTXQLGN,5,82,gnps;mona;msdial;pluskal_ms2;riken
XYYAFLHHHZVPRN,XYYAFLHHHZVPRN,4,80,gnps;mona;msdial;riken
HELXLJCILKEWJH,HELXLJCILKEWJH,5,79,gnps;massbank;msdial;pluskal_ms2;riken
YKJYKKNCCRKFSL,YKJYKKNCCRKFSL,7,79,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
XZTUSOXSLKTKJQ,XZTUSOXSLKTKJQ,7,78,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
TWDKBDSVUUKABK,TWDKBDSVUUKABK,5,73,gnps;mona;msdial;pluskal_ms2;riken
KSQNKZMAMGACTL,KSQNKZMAMGACTL,6,72,gnps;massbank;mona;msdial;pluskal_ms2;riken
XQCGNURMLWFQJR,XQCGNURMLWFQJR,7,71,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
HDOVUKNUBWVHOX,HDOVUKNUBWVHOX,8,71,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
APAJFZPFBHMFQR,APAJFZPFBHMFQR,6,70,gnps;massbank;mona;msdial;pluskal_ms2;riken
NGOLMNWQNHWEKU,RYHLQSVMWLBCJO,6,68,gnps;massbank;mona;msdial;pluskal_ms2;riken
WIONIXOBNMDJFJ,WIONIXOBNMDJFJ,5,68,gnps;mona;msdial;pluskal_ms2;riken
QYIYFLOTGYLRGG,QYIYFLOTGYLRGG,7,68,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
GGXICVAJURFBLW,GGXICVAJURFBLW,8,67,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
PSGAAPLEWMOORI,WYYCRMBIYYRAEW,7,66,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
FELGMEQIXOGIFQ,FELGMEQIXOGIFQ,8,66,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
FSASIHFSFGAIJM,ZPBYVFQJHWLTFB,6,66,drug_plus;gnps;massbank;mona;msdial;riken
OQIQSTLJSLGHID,OQIQSTLJSLGHID,6,65,gnps;massbank;mona;msdial;pluskal_ms2;riken
CEUORZQYGODEFX,CEUORZQYGODEFX,8,65,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
FSNCEEGOMTYXKY,FSNCEEGOMTYXKY,5,64,gnps;massbank;mona;msdial;riken
RGNXWPVNPFAADO,RGNXWPVNPFAADO,5,62,gnps;massbank;msdial;pluskal_ms2;riken
YRRAGUMVDQQZIY,YRRAGUMVDQQZIY,6,61,gnps;massbank;mona;msdial;pluskal_ms2;riken
STZYTFJPGGDRJD,STZYTFJPGGDRJD,5,59,drug_plus;gnps;mona;pluskal_ms2;riken
QPCYNIYZPDJCMB,QPCYNIYZPDJCMB,6,55,gnps;massbank;mona;msdial;pluskal_ms2;riken
CTRLABGOLIVAIY,CTRLABGOLIVAIY,8,54,drug_plus;gnps;masaryk;massbank;mona;msdial;pluskal_ms2;riken
MFWNKCLOYSRHCJ,MFWNKCLOYSRHCJ,6,53,drug_plus;gnps;massbank;mona;pluskal_ms2;riken
ZNJFBWYDHIGLCU,ZNJFBWYDHIGLCU,6,52,gnps;massbank;mona;msdial;pluskal_ms2;riken
AQCHWTWZEMGIFD,AQCHWTWZEMGIFD,6,51,drug_plus;gnps;massbank;mona;pluskal_ms2;riken
PMTMAFAPLCGXGK,RHVWQVSLVMXMBR,7,44,drug_plus;gnps;massbank;mona;msdial;pluskal_ms2;riken
