inchikey14,metric_ik14,heavy_atom_comp,tautomer_shifted
AACHUMVRQZBGIT,AACHUMVRQZBGIT,C14N3O1S2,False
AACIZIXVCIATQH,AACIZIXVCIATQH,C20N4O1,False
AACJEKDWEMQBCY,AACJEKDWEMQBCY,C30N1O9P1,False
AACKZKZVSSIRAC,AACKZKZVSSIRAC,C17F3N5O2,False
AACMEKHZKOUJSQ,AACMEKHZKOUJSQ,C21N2O3,False
AACQMVKYTMJUOX,AACQMVKYTMJUOX,C18N5O1,False
AACQRBFCQOPWRP,AACQRBFCQOPWRP,C28N1O8P1,False
AACRIISYDAXBKY,AACRIISYDAXBKY,C13N3O3S1,False
AACRPRVNADRNHN,AACRPRVNADRNHN,Br1C12N3O2S1,False
AACSHPQHMBPKFC,AACSHPQHMBPKFC,C18N4O2,False
AACUJFVOHGRMTR,AACUJFVOHGRMTR,C19F3N5O2S1,False
AACVPYUISGWNOU,AACVPYUISGWNOU,C53O20,False
AACVULYSNJAKEQ,AACVULYSNJAKEQ,C7N1O1S1,False
AACWHNWGNNQFNJ,AACWHNWGNNQFNJ,C18Cl1N3O1,False
AACWKIZDTTWOOX,AACWKIZDTTWOOX,C17N2O1,False
AACXJFORHWGYIN,AACXJFORHWGYIN,C41O1,False
AACXTVRFXUWRKJ,AACXTVRFXUWRKJ,C9O4,False
AACYBGHKLHTHHO,AACYBGHKLHTHHO,C23N1O6,False
AACYZNDHSVBBLA,AACYZNDHSVBBLA,C14N3O3,False
AACZIKPLTHFHSJ,AACZIKPLTHFHSJ,C18N5O2,False
AACZIPWLHBLMRT,AACZIPWLHBLMRT,C17N3O3,False
AADBLVKJRWUWOL,AADBLVKJRWUWOL,C20N4O1,False
AADCDMQTJNYOSS,AADCDMQTJNYOSS,C17Cl1N2O3,False
AADDIEKLTHKJRK,AADDIEKLTHKJRK,C20N5O1,False
AADGIVANXMJZCW,AADGIVANXMJZCW,C21O3,False
AADHXUYHSFBKDN,AADHXUYHSFBKDN,C16N3O1,False
AADIHHBQWJMHFF,AADIHHBQWJMHFF,C19F1N2O2,False
AADJJXOTXXTPLM,AADJJXOTXXTPLM,C18N1O6,False
AADKMXSIGUGEMH,AADKMXSIGUGEMH,Br1C14N2O1,False
AADLTHQNYQJHQV,AADLTHQNYQJHQV,C43N2O6P1,False
AADLZEQCMLORBL,AADLZEQCMLORBL,C19N6O3,False
AADNEQWIZKTMBL,AADNEQWIZKTMBL,C19O4,False
AADUPMNSBDBGST,AADUPMNSBDBGST,C20F2N3O3,False
AADVZSXPNRLYLV,AADVZSXPNRLYLV,C20N2O3,False
AADXXCSMXWTSGT,AADXXCSMXWTSGT,C18N3O2,False
AADYGFNQESRTBJ,AADYGFNQESRTBJ,C17Cl1N3O1,False
AAEAPEZCZKSGDH,AAEAPEZCZKSGDH,C17F1N2O3,False
AAEAWLCVAIUTBJ,AAEAWLCVAIUTBJ,C18N2O1S1,False
AAEGJRRBDAHHHB,AAEGJRRBDAHHHB,C15N2O4,False
AAEKHIWSIVFPGD,AAEKHIWSIVFPGD,C20N5O1,False
AAEKQOJTVFTSSA,AAEKQOJTVFTSSA,C18F1N4O2,False
AAELJWZFMQRUDV,AAELJWZFMQRUDV,C17F2N5O1,False
AAELKQFAZUNQPB,AAELKQFAZUNQPB,C15Cl1N2O5S1,False
AAEONIBPPBPGSN,AAEONIBPPBPGSN,C55O8,False
AAETXZJNXFQBFO,AAETXZJNXFQBFO,C11N3O2S2,False
AAEVAJRFOCLWAW,AAEVAJRFOCLWAW,C40O5,False
AAEVYOVXGOFMJO,AAEVYOVXGOFMJO,C10N5S1,False
AAEWQOPVHYVOBJ,AAEWQOPVHYVOBJ,C18N5O2S1,False
AAEXCCHPQIATLP,AAEXCCHPQIATLP,C12Cl1N5O1,False
AAEXJJJJCYQENT,AAEXJJJJCYQENT,C16F2N3O2S1,False
AAEZDRKCAQWFDB,AAEZDRKCAQWFDB,C17N2O2S2,False
AAEZJVSSGYDTQC,AAEZJVSSGYDTQC,C15N5O2S1,False
AAFFHVRNHILQIJ,AAFFHVRNHILQIJ,C17N4O2,False
AAFFMDZZSHAVCL,AAFFMDZZSHAVCL,C15N3O3,False
AAFFPIPBQBAXGO,AAFFPIPBQBAXGO,C16Cl1N4O1,False
AAFGIBIGPAEOCJ,AAFGIBIGPAEOCJ,C17N2O4S1,False
AAFIPDZKAGTPMV,AAFIPDZKAGTPMV,C16F3N5O1,False
AAFISZMMROIHDJ,AAFISZMMROIHDJ,C12N2O4S1,False
AAFIXJDEFRHOQU,AAFIXJDEFRHOQU,C15N3O2,False
AAFJCAYWCZPGGU,AAFJCAYWCZPGGU,C15F2N3O2S1,False
AAFKBDRKIZNVOI,AAFKBDRKIZNVOI,C18N2O3,False
AAFLALGGEYRGTR,AAFLALGGEYRGTR,C16Cl1N1O3S1,False
AAFOHBZROUWSPX,AAFOHBZROUWSPX,C16N3O4,False
AAFPBUWBKCMUOC,AAFPBUWBKCMUOC,C59O6,False
AAFPXDKMWJRCMV,AAFPXDKMWJRCMV,C13Cl1F1N1O3,False
AAFQUFFWQFQGDH,AAFQUFFWQFQGDH,C18O5,False
AAFRXUCASCWQMP,AAFRXUCASCWQMP,C15N6O1S1,False
AAFSKRHBWOQJCV,AAFSKRHBWOQJCV,C19N2O4,False
AAGBOXJKKXJJQB,AAGBOXJKKXJJQB,C17N2O3S1,False
AAGCATAPYOEULE,AAGCATAPYOEULE,C26O11,False
AAGDDBNPZLASRO,AAGDDBNPZLASRO,C17N3O5S1,False
AAGFPRIRJRPWAH,AAGFPRIRJRPWAH,C16Cl1N3O2,False
AAGFPTSOPGCENQ,AAGFPTSOPGCENQ,C15N2O1,False
AAGGYCZUUQZZKS,AAGGYCZUUQZZKS,C9N1O4,False
AAGIJBXEGXRWQO,AAGIJBXEGXRWQO,C12N5O2S1,False
AAGIXJOBWKVFKV,AAGIXJOBWKVFKV,C16N8O1,False
AAGJRHKJTYKSPL,AAGJRHKJTYKSPL,Br1C12N5O1S1,False
AAGKJMCKQYNRDG,AAGKJMCKQYNRDG,C21N2O2,False
AAGKMVRVWUWFTE,AAGKMVRVWUWFTE,C21N3O2,False
AAGLDUCZZYWAHX,AAGLDUCZZYWAHX,C15N2O4S1,False
AAGLFPOMKKVMEB,AAGLFPOMKKVMEB,C17N4,False
AAGMHBKOKZOHAM,AAGMHBKOKZOHAM,C17F2N3O2,False
AAGMPIFQXCZSHW,AAGMPIFQXCZSHW,C20F1N4O1,False
AAGPAINRECHCNA,AAGPAINRECHCNA,C27N2O3,False
AAGPNDWMPDOGJA,AAGPNDWMPDOGJA,C17Cl1N1O4,False
AAGRIODSHVGXTR,AAGRIODSHVGXTR,C14N2O4S1,False
AAGSLGPWTNOJDN,AAGSLGPWTNOJDN,C16Cl1N4O2,False
AAGUJWXMWIWDIQ,AAGUJWXMWIWDIQ,C21N3O4,False
AAGXDKZJVYZKJO,AAGXDKZJVYZKJO,C19N5O1,False
AAGYRUQWSQMMAM,AAGYRUQWSQMMAM,C17N3O4S1,False
AAGZHZONWTXZOV,AAGZHZONWTXZOV,C14N3O3,False
AAHCQDDDJBYJJR,AAHCQDDDJBYJJR,C17F3N3O2,False
AAHCRORPOCONCL,AAHCRORPOCONCL,C19N5O1,False
AAHCTQSONGCXBY,AAHCTQSONGCXBY,C15Cl1N4O2,False
AAHKQFVTBYBKGL,AAHKQFVTBYBKGL,C13Cl2N5O1,False
AAHKQUZKDAXKQQ,AAHKQUZKDAXKQQ,C13N3O2S1,False
AAHKVQDRDASXKV,AAHKVQDRDASXKV,C29N4O4,False
AAHNBILIYONQLX,AAHNBILIYONQLX,C25F4N6O2,False
AAHPVGJUKRUNQW,AAHPVGJUKRUNQW,C18F1N4O2,False
AAHSTEUFCXJGIV,AAHSTEUFCXJGIV,C23O8,False
AAHUUXWKDZSHER,AAHUUXWKDZSHER,C13Cl1F1N1O4,False
AAHXZNABHUUIPK,AAHXZNABHUUIPK,C19N6,False
AAHYTWRSQZFZCM,AAHYTWRSQZFZCM,C6F2N2O2,False
AAIAVCHYYZRXFK,AAIAVCHYYZRXFK,C16N2O2S1,False
AAICTHSGRPHVLL,AAICTHSGRPHVLL,C13N1O5S1,False
AAIHLBNRYGCFEP,AAIHLBNRYGCFEP,C13N4O3S1,False
AAIIJIOWYALNCC,AAIIJIOWYALNCC,C32N1O11,False
AAIIULWEQWNLSR,AAIIULWEQWNLSR,C18N2O5,False
AAIJYOSJBHAEQG,AAIJYOSJBHAEQG,C15N4O1,False
AAIKPFLZMWMJBX,AAIKPFLZMWMJBX,C23N4O1,False
AAILVFJAIVKJQG,AAILVFJAIVKJQG,C16Cl1F1N3O2,False
AAINVBUIUROTMX,AAINVBUIUROTMX,C17N6O2S1,False
AAIOWGZUEXEZKN,AAIOWGZUEXEZKN,C16N6O2,False
AAIPBQWLVCDDCD,AAIPBQWLVCDDCD,C19N1O6,False
AAIPSAYOWGJQIZ,AAIPSAYOWGJQIZ,C18N3O4,False
AAIPWBGTFNBARR,AAIPWBGTFNBARR,C17N3O2,False
AAIREPRIYSAABE,AAIREPRIYSAABE,C12N4O2S1,False
AAIRLZKRDXNCCE,AAIRLZKRDXNCCE,C16F1N4O1,False
AAISGYKRINAJTB,AAISGYKRINAJTB,C19N2O2S1,False
AAITZCURMKCJCE,AAITZCURMKCJCE,C16N2O2S1,False
AAIYLZBROYXYPX,AAIYLZBROYXYPX,C16N4O2,False
AAIYPMLPQBBPKR,AAIYPMLPQBBPKR,C17N1O5S1,False
AAJANDWRABHMKV,AAJANDWRABHMKV,C17F3N3O2S1,False
AAJBOEOBFJRTFV,AAJBOEOBFJRTFV,C17N5O2,False
AAJCAOZPYSHLNJ,AAJCAOZPYSHLNJ,C20N7O2,False
AAJDAQOLRAZSRS,JZDTWOOJPOKDJQ,C28O9,True
AAJDRFVCBCLUGH,AAJDRFVCBCLUGH,C17F1N2O2,False
AAJGNRWZTKYDRG,AAJGNRWZTKYDRG,C16N5O2,False
AAJHMZZEADRWRN,AAJHMZZEADRWRN,C24N6O1S1,False
AAJIHHYEPHRIET,AAJIHHYEPHRIET,C30O3,False
AAJIRHUITZKSOD,AAJIRHUITZKSOD,C16N4O1,False
AAJKKRYJJBOOKF,AAJKKRYJJBOOKF,C16Cl1N2O4,False
AAJLRBLLHFWWCR,AAJLRBLLHFWWCR,C11F3N4O1,False
AAJMQTLFRTZCJK,AAJMQTLFRTZCJK,C16F3N3O3,False
AAJNUAVSSNDOGG,AAJNUAVSSNDOGG,C15N2O5S1,False
AAJNUQCUXATYLI,AAJNUQCUXATYLI,C24N4O6,False
AAJOPMHTWQOBSN,AAJOPMHTWQOBSN,C14Cl2N3S1,False
AAJPTQJWEJNBGK,AAJPTQJWEJNBGK,C14N3O3S1,False
AAJSQXKYVKMYBG,AAJSQXKYVKMYBG,C13N3O2S1,False
AAJUKFYZPRTUNV,AAJUKFYZPRTUNV,C17N4O1,False
AAJVCFUNDLOGDI,AAJVCFUNDLOGDI,C16F1N4O2,False
AAJWYAKFHBESMT,AAJWYAKFHBESMT,C18Cl1N4O2S1,False
AAJYIOVHVNVNMZ,AAJYIOVHVNVNMZ,C17Cl1N5O2,False
AAJZDQXKJKUROX,AAJZDQXKJKUROX,C13N2O3,False
AAKALCIGMQDAKV,AAKALCIGMQDAKV,C14N3O4,False
AAKAOPPNJFOXSC,AAKAOPPNJFOXSC,C7N1O5,False
AAKBCFNYQADTIH,AAKBCFNYQADTIH,C49O6,False
AAKDNKFCNPLTLX,AAKDNKFCNPLTLX,C22O3,False
AAKFCLTVSNKYTB,AAKFCLTVSNKYTB,C17N4S1,False
AAKFSKGDIRKILO,AAKFSKGDIRKILO,C11F1O3,False
AAKGQCRLAXUVQW,AAKGQCRLAXUVQW,C19F1N4O2,False
AAKHGLJWUOZNTQ,AAKHGLJWUOZNTQ,C24O8,False
AAKHKGPJPZLUOV,AAKHKGPJPZLUOV,C63O6,False
AAKIJNHCYGSNGW,FBOYMSLOKCTBFV,C24Cl1N4O3,True
AAKJLRGGTJKAMG,AAKJLRGGTJKAMG,C22N3O4,False
AAKKFGCWNBDJNQ,AAKKFGCWNBDJNQ,C14N3O2,False
AAKMXWNJZJABIX,AAKMXWNJZJABIX,C17F2N4O2,False
AAKOIQXLGBQXRS,AAKOIQXLGBQXRS,C16F1N3O2,False
AAKPDLXNSYUCJX,AAKPDLXNSYUCJX,C25N2O2,False
AAKPNRVLVGZWKZ,AAKPNRVLVGZWKZ,C20Cl1F1N3O3S1,False
AAKRPNIMPXZCJY,AAKRPNIMPXZCJY,C15N5O1S1,False
AAKVOIQVHMBTRC,AAKVOIQVHMBTRC,C19F1N1O4,False
AAKWZWFWCWSWAI,AAKWZWFWCWSWAI,C13N7O1,False
AALADBUAVLQZNY,AALADBUAVLQZNY,C16F2N2O3,False
AALAEUFGLJZZFA,AALAEUFGLJZZFA,C18F3N5O2,False
AALAHUXOORKJHH,AALAHUXOORKJHH,C29N1O5,False
AALCUAYIEXUYBI,AALCUAYIEXUYBI,C16Cl1N4O3,False
AALDBAAEOXEATK,AALDBAAEOXEATK,C18N4O2,False
AALDVLDFJARINU,AALDVLDFJARINU,C15N3O3,False
AALITOVFPWFKLB,AALITOVFPWFKLB,C15N4O2,False
AALKFUQELXWNKA,AALKFUQELXWNKA,C33N5O19,False
AALLCALQGXXWNA,AALLCALQGXXWNA,C20O6,False
AALLEWUCWSEWPN,AALLEWUCWSEWPN,C20Cl1N4O2S2,False
AALLNSDDKGMNKD,AALLNSDDKGMNKD,C13Cl1F1N2O2,False
AALMRSDYFCTHAY,AALMRSDYFCTHAY,C20N2O3,False
AALMTQFJPTZTFB,AALMTQFJPTZTFB,C13N2O3,False
AALSSIXXBDPENJ,OJHBQWRSUJOFQB,C21O6,True
AALYNJRWFPONGH,AALYNJRWFPONGH,C18Cl1F1N1O4S1,False
AALZHAXOWVHIMZ,AALZHAXOWVHIMZ,C19F1N3O2,False
AALZNDVRZMBLOR,AALZNDVRZMBLOR,C44N1O7,False
AAMACCHUQVETPC,AAMACCHUQVETPC,C17N5S1,False
AAMBVCCBNOIXNL,AAMBVCCBNOIXNL,C16N4O3S1,False
AAMCWDRVYVWCKW,AAMCWDRVYVWCKW,C16N3S1,False
AAMGFSXZEJYTCF,AAMGFSXZEJYTCF,C34N5O5,False
AAMMQJKXDWNQKG,AAMMQJKXDWNQKG,C21N3O3,False
AAMNDZRMNJHJTL,AAMNDZRMNJHJTL,C16F3N2O5S1,False
AAMOZBCBNKCAFK,AAMOZBCBNKCAFK,C22N4O1,False
AAMQMPBGTNGADJ,AAMQMPBGTNGADJ,C17N3O3,False
AAMRZVJDVFHDSC,AAMRZVJDVFHDSC,C20N1O7,False
AAMUEEMCWSENMD,AAMUEEMCWSENMD,C16N6O2,False
AAMUEEOLAWKUSK,AAMUEEOLAWKUSK,C14Cl2N4O1,False
AAMWBCCOOVEHKO,AAMWBCCOOVEHKO,C17N1O3S1,False
AAMYHNUXYNLQJB,AAMYHNUXYNLQJB,C20N5O1,False
AANAMECEISGBQS,AANAMECEISGBQS,C20N4O3,False
AANDHUKUIHFMBS,AANDHUKUIHFMBS,C19N5O1,False
AANFHDFOMFRLLR,AANFHDFOMFRLLR,C23F1N1O4,False
AANFXBNASQBBGW,AANFXBNASQBBGW,C14F2N3O3S1,False
AANHOLYKFWJSAG,AANHOLYKFWJSAG,C17N5O1,False
AANIFFMTSPFIJD,AANIFFMTSPFIJD,C12N2O5,False
AANJASUQBXFZDX,AANJASUQBXFZDX,C17N2O3S1,False
AANJPUPFLYTODX,AANJPUPFLYTODX,C18N4O4S1,False
AANLHOVYRNPCCG,AANLHOVYRNPCCG,C16N4O2S1,False
AANLQFHDKCSBTC,AANLQFHDKCSBTC,C22N4O3,False
AANLWZYWGLAZBT,AANLWZYWGLAZBT,C15N4O2S1,False
AANMTXJQDLBLKC,AANMTXJQDLBLKC,C47O12P1,False
AANPIBOUXVJPRA,AANPIBOUXVJPRA,C63O6,False
AANPOYANEMYSQW,AANPOYANEMYSQW,C17N1O2S1,False
AANRRKQIDFDKBZ,AANRRKQIDFDKBZ,C20N2O2,False
AANUXIJOHWMFKA,AANUXIJOHWMFKA,C15F1N5O1S1,False
AANVMOBYCKFKTC,AANVMOBYCKFKTC,C18N4O1,False
AANVSJBDHQYCLZ,AANVSJBDHQYCLZ,C15Cl1F1N3O3,False
AANWLHMGGKNKMI,AANWLHMGGKNKMI,C22N4O1,False
AANWMTRHVNEUGO,AANWMTRHVNEUGO,C19N4O3S1,False
AANWZNBQOFPDSR,AANWZNBQOFPDSR,C20N5O1,False
AANXGXVMBZXMJT,AANXGXVMBZXMJT,C19N2O3,False
AANXIXOMYHIHGZ,AANXIXOMYHIHGZ,C18N3O4,False
AANXWIGREAMYPY,AANXWIGREAMYPY,C18N2O2S1,False
AANYSLWVGGAKAE,AANYSLWVGGAKAE,C17N3O3,False
AAOADKHNFOGATJ,AAOADKHNFOGATJ,C21N2O4S2,False
AAOBBQSMBJCAOK,AAOBBQSMBJCAOK,C20N2O2,False
AAODUKUNWHOUOT,AAODUKUNWHOUOT,C16N2O1,False
AAOFJKLTRKOQTQ,AAOFJKLTRKOQTQ,C11O4,False
AAOIECSLKOYJDM,AAOIECSLKOYJDM,C16F3N2O2,False
AAOLIMLEFKWKOY,AAOLIMLEFKWKOY,C33N3O15,False
AAOLOBCRJIIAIS,AAOLOBCRJIIAIS,C15Cl1F1N5O1S1,False
AAOMTOLCSIHZLA,AAOMTOLCSIHZLA,C19Cl1N1O3,False
AAOQQWDQWALLNL,AAOQQWDQWALLNL,C10Cl1F3N3O2,False
AAOQXSCWWVHHKZ,AAOQXSCWWVHHKZ,C20N3O2,False
AAOTYKMXSKYUFU,AAOTYKMXSKYUFU,C17Cl1F2N3O1,False
AAOVCEIQPDDKAC,AAOVCEIQPDDKAC,C17F1N1O4,False
AAOVKJBEBIDNHE,AAOVKJBEBIDNHE,C16Cl1N2O1,False
AAOYDZDBGXRJNF,AAOYDZDBGXRJNF,C16N3O2,False
AAOYXIZXGVTIAX,AAOYXIZXGVTIAX,C18F2N3O1,False
AAPDKZCLKUDFOM,AAPDKZCLKUDFOM,C14N3O3S1,False
AAPHSDMFUZYGQE,AAPHSDMFUZYGQE,C15Cl2N2O2,False
AAPNKAVXXSGPNJ,AAPNKAVXXSGPNJ,C16F3N3O1,False
AAPOCPWDQZSQRR,AAPOCPWDQZSQRR,C16N3O4,False
AAPOINYWRRGOJT,AAPOINYWRRGOJT,C20Cl1N5O2,False
AAPSWUCVMIVDJW,AAPSWUCVMIVDJW,C18N4O1,False
AAPVQEMYVNZIOO,AAPVQEMYVNZIOO,C9Cl6O4S1,False
AAPVVWIJQYJQDU,AAPVVWIJQYJQDU,C15N5O1S1,False
AAPWQJHPGPFLOA,AAPWQJHPGPFLOA,C18N2O4,False
AAPXQFUBRVZCEY,AAPXQFUBRVZCEY,C19N3O2,False
AAPYRWHAQKKLNX,AAPYRWHAQKKLNX,C21N2O2S1,False
AAPZMQVULRVUEU,MFZDDJJLXLDONA,C24O5,True
AAPZXDGLCMYGEG,AAPZXDGLCMYGEG,C19N5O1S1,False
AAQAEAUIGUCZNW,AAQAEAUIGUCZNW,C17N1O3,False
AAQAXIAUDCQNAT,AAQAXIAUDCQNAT,C17Cl1N3O3,False
AAQBESYIHQZUAO,AAQBESYIHQZUAO,C12N1O3,False
AAQCMZVIQHLXPK,AAQCMZVIQHLXPK,C17N3O2,False
AAQCRCVLIQUNMP,AAQCRCVLIQUNMP,C19N5O2,False
AAQDHRMACHHREF,AAQDHRMACHHREF,C19N2O4,False
AAQHFVUVRTWALN,AAQHFVUVRTWALN,C18N3O2,False
AAQHSADQDQGIRB,AAQHSADQDQGIRB,C15N4,False
AAQIJGZIAUMOPZ,AAQIJGZIAUMOPZ,C23N4O2,False
AAQKQOVUCDYOIQ,AAQKQOVUCDYOIQ,C14F3N2O3,False
AAQKZCGWOYTNNG,AAQKZCGWOYTNNG,C18N1O4S1,False
AAQMEKVMBSHQSI,XSYFJARDFYYUAD,C33N4O6,True
AAQOQKQBGPPFNS,AAQOQKQBGPPFNS,Br1C11N1,False
AAQOYVVMZSCEJL,AAQOYVVMZSCEJL,C14F3N3O1,False
AAQXRBCDRRNRHN,AAQXRBCDRRNRHN,C19N3O3,False
AAQXROSVHFOJAL,AAQXROSVHFOJAL,C16N3O2,False
AAQYBONXZPXIQR,AAQYBONXZPXIQR,C36O14,False
AAQYFUGIVABTRE,AAQYFUGIVABTRE,Br1C15N3O1,False
AARAKCWCTHBEKD,AARAKCWCTHBEKD,C20F3N3O3,False
AARCTFWKKGJFST,AARCTFWKKGJFST,C12N2O3S1,False
AARDEYVMLOHKDY,AARDEYVMLOHKDY,C17N2O3S2,False
AARGZOOWPKMZGW,AARGZOOWPKMZGW,C12F3N3O2,False
AARHGXPZAYKIHK,AARHGXPZAYKIHK,C15N4O3S1,False
AARHZYUDBKTTBD,AARHZYUDBKTTBD,Br1C16N2O2,False
AARIHENRSOEJOC,AARIHENRSOEJOC,C19O10,False
AARKPNPGYLAZNA,AARKPNPGYLAZNA,Br1C12N3O1S1,False
AARQMQQVMJOHMT,AARQMQQVMJOHMT,C16N3O1S1,False
AARQPLDRGZTPNR,AARQPLDRGZTPNR,C18N2O5,False
AARQRUTVYRUZMP,AARQRUTVYRUZMP,C21N6,False
AARRLOSQJDGTRZ,AARRLOSQJDGTRZ,C14N3O1,False
AARUCYYDFNVJCO,AARUCYYDFNVJCO,C15N3O4S1,False
AARVOUIICJIUNK,AARVOUIICJIUNK,C18N3O2,False
AARWKOGHWSILMA,AARWKOGHWSILMA,C16N3O3,False
AARXMRRIHQKKME,AARXMRRIHQKKME,C46N1O7P1,False
AASDQNDVQKUUKZ,AASDQNDVQKUUKZ,C16N2O4S1,False
AASITNKNVUXRLF,AASITNKNVUXRLF,C17N4O3,False
AASIYTPJJXHZJS,AASIYTPJJXHZJS,C15N5O2S1,False
AASJTZPPBPPOFE,AASJTZPPBPPOFE,C22Cl2N4O2,False
AASLFELHFOYXIN,AASLFELHFOYXIN,C14F3N4O2,False
AASMLLDKMITLRF,AASMLLDKMITLRF,C13N1O6,False
AASMWLDYWGXFHI,AASMWLDYWGXFHI,C16O5,False
AASMXOGHUKJKAB,AASMXOGHUKJKAB,C16Cl1N1O3S2,False
AASPGTOXCQXNOQ,AASPGTOXCQXNOQ,C9Cl1N1O2,False
AASPJVSSGHFYEZ,AASPJVSSGHFYEZ,C19N5O1,False
AASPQFRZXBVYEH,AASPQFRZXBVYEH,C15N4O3S1,False
AASPWBDADOFHKF,AASPWBDADOFHKF,C18N6O2,False
AASURCLIFUXWTB,AASURCLIFUXWTB,C20N3O3,False
AASVNUQHWNGPES,AASVNUQHWNGPES,C15N2O3,False
AATBQUUGWKGGFG,AATBQUUGWKGGFG,C15N4O2,False
AATCBLYHOUOCTO,AATCBLYHOUOCTO,C33N4O4S1,False
AATFJKDKONKNFA,AATFJKDKONKNFA,C13N5O3,False
AATFRFZETLLOPL,AATFRFZETLLOPL,C15F3N3O3S1,False
AATHCBXNJGGAPL,AATHCBXNJGGAPL,C15N1O5,False
AATHXZYXWMKUFC,AATHXZYXWMKUFC,C19Cl1F3N6O2,False
AATLZFKYNQJCPG,AATLZFKYNQJCPG,C16N1O5,False
AATMBCAUUOEBOM,AATMBCAUUOEBOM,C17N3O3,False
AATMLEKDYCJIDE,AATMLEKDYCJIDE,C14N5O1,False
AATNJWXJPJWZJO,AATNJWXJPJWZJO,C17N4O2,False
AATNYMBROJLHLB,AATNYMBROJLHLB,C17N3O4,False
AATPXGUZXSHTNY,AATPXGUZXSHTNY,C15N2O3S1,False
AATPYXMXFBBKFO,AATPYXMXFBBKFO,C14I1N4O2,False
AATQPQPHHPJRIB,AATQPQPHHPJRIB,C19N5S1,False
AATRANWNKAJBJW,AATRANWNKAJBJW,Br1C13F1N2O1,False
AATRFIAYPGUYMW,AATRFIAYPGUYMW,C17N3O4,False
AATRSFNBYCILMU,AATRSFNBYCILMU,C23N4O3,False
AATUJJYGUXNPAQ,AATUJJYGUXNPAQ,C87N21O40,False
AATUQUAAEWXPMI,AATUQUAAEWXPMI,C18N4O2,False
