metric_ik14,n_inchikey14,inchikey14s,example_smiles
FIIAPJASQSDOKY,3,BTXNYTINYBABQR;FIIAPJASQSDOKY;YDOIFHVUBCIUHF,Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65;Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(O)c7c(=O)cc(C)c8c1c2c(c34)c(c65)c78;Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c65)c78
BGLRSZBGFHMOKT,3,BGLRSZBGFHMOKT;JYWRCSAWBUAIFO;MYLOBISKHDRNEW,COC(=O)C12C(O)=C(C)C(=O)C1(C)C(C)=CC1C34CCC(OC(C)=O)C(C)(C)C3C(CC12C)OC4=O;COC(=O)C12C(=O)C(C)C(=O)C1(C)C(C)=CC1C34CCC(OC(C)=O)C(C)(C)C3C(CC12C)OC4=O;COC(=O)C12C(=O)C(C)=C(O)C1(C)C(C)=CC1C34CCC(OC(C)=O)C(C)(C)C3C(CC12C)OC4=O
BGYJFSXPRMOZJK,3,BGYJFSXPRMOZJK;GKQPCPXONLDCMU;HRWNZPORSDJVBT,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1C=CC(=O)OC(C)(C)C;CCOC(=O)C1=C(C)N=C(C)C(=C(O)OCC)C1c1ccccc1C=CC(=O)OC(C)(C)C;CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1c1ccccc1C=CC(=O)OC(C)(C)C
FPTYSBCRIPGIMB,3,FPTYSBCRIPGIMB;MSEOJWPNMYHKMI;QTTUBTNSWLIYPX,COC(=O)C12C(=O)C(C)C(=O)C1(C)C(C)=CC1C3(CO)CCC(O)C(C)(C)C3CCC12C;COC(=O)C12C(O)=C(C)C(=O)C1(C)C(C)=CC1C3(CO)CCC(O)C(C)(C)C3CCC12C;COC(=O)C12C(=O)C(C)=C(O)C1(C)C(C)=CC1C3(CO)CCC(O)C(C)(C)C3CCC12C
HLQRHTWAVXFDBJ,3,HLQRHTWAVXFDBJ;YTMCTWONBYRCCU;ZFLWDHHVRRZMEI,COC(O)=C1C(C)=NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F;COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F;COC(=O)C1=C(C)N=C(C)C([N+](=O)[O-])C1c1ccccc1C(F)(F)F
DEUMZOVOWKWFNH,3,DEUMZOVOWKWFNH;FNZLKVNUWIIPSJ;PPQRONHOSHZGFQ,O=CC(O)C(O)C(O)COP(=O)(O)O;O=C(CO)C(O)C(O)COP(=O)(O)O;O=C(C(O)CO)C(O)COP(=O)(O)O
CHQOZXWUHOXAOF,3,CHQOZXWUHOXAOF;DOJFXAGOVCXVRI;WGGLOETUVNUGBC,CC(CCC(=O)OCC(=O)C(O)C(O)C(O)CO)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C;CC(CCC(=O)OCC(O)C(O)C(O)C(=O)CO)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C;CC(CCC(=O)OCC(O)C(O)C(O)C(O)C=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C
LHTJZXMWYGUVJS,3,IOYNQIMAUDJVEI;LHTJZXMWYGUVJS;PHXHZCIAPNNPTQ,CCC(=NOCC=CCl)C1=C(O)CC(C2CCOCC2)CC1=O;CCC(NOCC=CCl)=C1C(=O)CC(C2CCOCC2)CC1=O;CCC(=NOCC=CCl)C1C(=O)CC(C2CCOCC2)CC1=O
LAXGVLPLAROBNQ,3,CXIHBIKIPKUWBP;KCPUSSJDCHTZSH;LAXGVLPLAROBNQ,CC=CC=CC(=O)C1=C(O)C2(C)C(=O)C(C)(O)C1C(C1(C)OC(=O)C(C)=C1O)C2C(=O)CCC=CC;CC=CC=CC(O)=C1C(=O)C2(C)C(=O)C(C)(O)C1C(C1(C)OC(=O)C(C)=C1O)C2C(=O)CCC=CC;CC=CC=CC(=O)C1C(=O)C2(C)C(=O)C(C)(O)C1C(C1(C)OC(=O)C(C)C1=O)C2C(=O)CCC=CC
JAUORDHNHDCTAS,3,BSJMWHQBCZFXBR;JAUORDHNHDCTAS;KUCQYCKVKVOKAY,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21;O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1;Oc1c(C2=CCC(c3ccc(Cl)cc3)CC2)c(O)c2ccccc2c1O
CILKMDTVTDJQHW,3,CILKMDTVTDJQHW;GAPRVZKWPDRAJA;OMWCXCBGEFHCTN,CC1CC(C)CN(S(=O)(=O)c2ccc3c(c2)C(=NO)c2cc(S(=O)(=O)N4CC(C)CC(C)C4)ccc2C3=NO)C1;CC1CC(C)CN(S(=O)(=O)c2ccc3c(NO)c4ccc(S(=O)(=O)N5CC(C)CC(C)C5)cc4c(N=O)c3c2)C1;CC1CC(C)CN(S(=O)(=O)c2ccc3c(N=O)c4ccc(S(=O)(=O)N5CC(C)CC(C)C5)cc4c(NO)c3c2)C1
LPYXWGMUVRGUOY,3,CIWBSHSKHKDKBQ;LPYXWGMUVRGUOY;TYQCGQRIZGCHNB,O=C1OC(C(O)CO)C(O)=C1O;O=C1C(O)=C(O)OC1C(O)CO;OCC(O)c1oc(O)c(O)c1O
AZFBLLCNOQPJGJ,3,ATEBXHFBFRCZMA;AZFBLLCNOQPJGJ;ZWBTYMGEBZUQTK,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O;COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)=NC2(CCN(CC(C)C)CC2)N=5)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C;COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)NC2(CCN(CC(C)C)CC2)N=5)=NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
KGVGDPTVFXSKIN,3,JFVNCAQMLBDFMZ;KBFVTVFLVGQODG;KGVGDPTVFXSKIN,CC(CCC(=O)OCC(O)C(O)C(O)C(=O)CO)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C;CC(CCC(=O)OCC(O)C(O)C(O)C(O)C=O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C;CC(CCC(=O)OCC(=O)C(O)C(O)C(O)CO)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C
BNOIZWOXBSHRNX,3,BNOIZWOXBSHRNX;KANPTSQTXUUWJP;MLCMEHUPTMULKN,COc1cc(C)c(C(O)=NC2C(C)OC(OC3CCC(C)C4C3C=C(C)C3C(C)=CCCC(C)=CC5(C)C=C(C(=O)O)C(C)CC56OC(=O)C(=C6O)C(=O)C34C)C(O)C2(C)O)c(O)c1;COc1cc(C)c(C(=O)NC2C(C)OC(OC3CCC(C)C4C3C=C(C)C3C(C)=CCCC(C)=CC5(C)C=C(C(=O)O)C(C)CC56OC(=O)C(C(=O)C34C)C6=O)C(O)C2(C)O)c(O)c1;COc1cc(C)c(C(=O)NC2C(C)OC(OC3CCC(C)C4C3C=C(C)C3C(C)=CCCC(C)=CC5(C)C=C(C(=O)O)C(C)CC56OC(=O)C(=C6O)C(=O)C34C)C(O)C2(C)O)c(O)c1
HAQDEJPEAKWAAM,3,FFVFHTOPUHZSGD;HAQDEJPEAKWAAM;RZTAMFZIAATZDJ,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl;CCOC(O)=C1C(C)=NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl;CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc(Cl)c1Cl
KKMSFCOCDJAGRO,3,CIEYTVIYYGTCCI;CWPGNVFCJOPXFB;KKMSFCOCDJAGRO,CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O;CC(C)=CCC1=C(O)c2ccccc2C(=O)C1=O;C=C(C)C=Cc1c(O)c(O)c2ccccc2c1O
FMCKLHPPSGUBEM,3,CYJPUZLKFAUFHF;FMCKLHPPSGUBEM;QAQJMLQRFWZOBN,CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(=O)C1O;CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(O)=C1O;CCCCCCCCCCCCCCCC(=O)OCC(O)c1oc(O)c(O)c1O
NNOIFKWIHULJGD,3,CPRXVUOMCYXPHA;NNOIFKWIHULJGD;PBKZJIMGHNPKBJ,COc1cc(C)cc(C(=O)O)c1C1=C(O)c2cccc(O)c2C(=O)C1=O;COc1cc(C)cc(C(=O)O)c1C1=C(O)C(=O)c2c(O)cccc2C1=O;COc1cc(C)cc(C(=O)O)c1C1C(=O)C(=O)c2c(O)cccc2C1=O
NNXWMWGIQHVLGW,3,ABLACSIRCKEUOB;MJKDGCARCYPVQG;NNXWMWGIQHVLGW,Cc1cc(=O)c2c(O)c3c(O)cc(=O)c4c3c3c(cc(O)c1c23)C(C)(C)C=4O;Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O;Cc1cc(=O)c2c(O)c3c(=O)cc(O)c4c3c3c(cc(O)c1c23)C(C)(C)C=4O
OEVCPKKGZOPKST,3,OEVCPKKGZOPKST;RMFGNMMNUZWCRZ;VMSLCPKYRPDHLN,CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O;CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(O)=C(C(=O)CC(C)C)C1=O;CC(C)=CCC1C(=O)C(C(=O)CC(C)C)C(=O)C(O)(CC=C(C)C)C1=O
OLHLJBVALXTBSQ,3,LSDULPZJLTZEFD;OLHLJBVALXTBSQ;WPVSVIXDXMNGGN,CC(C)=CCC1=C(O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O;CC(C)=CCC1=C(O)C(C(=O)CC(C)C)=C(O)C(CC=C(C)C)(CC=C(C)C)C1=O;CC(C)=CCC1C(=O)C(C(=O)CC(C)C)C(=O)C(CC=C(C)C)(CC=C(C)C)C1=O
OSUCQKNXQBPLDG,3,HYIMSNHJOBLJNT;HZAYOBLZTKMKJT;OSUCQKNXQBPLDG,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-];COC(=O)C1=C(C)N=C(C)C(=C(O)OC)C1c1ccccc1[N+](=O)[O-];COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
OTGJPAOGHQFBMI,3,LZNWYQJJBLGYLT;OTGJPAOGHQFBMI;WZWYJBNHTWCXIM,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O;CN1C(=C(O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O;CN1C(C(=O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O
PJTCHTICLZAQNK,3,JACNBJFTXZEQNC;PJTCHTICLZAQNK;WVVJWXDENDJFEC,CC=CC=CC(=O)C1C(=O)C(C)C(=O)C2(C)OC(=O)C(C)(NC(=O)C=CC(=O)O)C12;CC=CC=CC(O)=C1C(=O)C(C)=C(O)C2(C)OC(=O)C(C)(NC(=O)C=CC(=O)O)C12;CC=CC=CC(O)=C1C(O)=C(C)C(=O)C2(C)OC(=O)C(C)(NC(=O)C=CC(=O)O)C12
PSTABKZVTHLQRD,3,LGIBRQVYYFOBSF;LISLGICORSJAKO;PSTABKZVTHLQRD,COC(=O)C12C(=O)C(C)=C(O)C1(C)C(C)=CC1C34CCC(OC3=O)C(C)(C)C4CCC12C;COC(=O)C12C(O)=C(C)C(=O)C1(C)C(C)=CC1C34CCC(OC3=O)C(C)(C)C4CCC12C;COC(=O)C12C(=O)C(C)C(=O)C1(C)C(C)=CC1C34CCC(OC3=O)C(C)(C)C4CCC12C
PTQUTJMIUSUPLW,3,HCSONWDCGXFSJK;PTQUTJMIUSUPLW;WWSUFZCWOJULTK,COC12CC(=O)C(C(C)=O)=C(O)C1(C)c1c(O)c(C)c(O)c(C(C)=O)c1O2;COC12CC(O)=C(C(C)=O)C(=O)C1(C)c1c(O)c(C)c(O)c(C(C)=O)c1O2;COC12CC(=O)C(C(C)=O)C(=O)C1(C)c1c(O)c(C)c(O)c(C(C)=O)c1O2
PYSNTTJECDTNFV,3,DRYDKQOPVBDZMQ;NFZJAYYORNVZNI;PYSNTTJECDTNFV,COC(=O)C12Oc3ccc(-c4ccc5c(c4O)C(O)=C4C(=O)CC(C)C(O)C4(C(=O)OC)O5)c(O)c3C(O)=C1C(=O)CC(C)C2O;COC(=O)C12Oc3ccc(-c4ccc5c(c4O)C(=O)C4C(=O)CC(C)C(O)C4(C(=O)OC)O5)c(O)c3C(=O)C1C(=O)CC(C)C2O;COC(=O)C12Oc3ccc(-c4ccc5c(c4O)C(=O)C4=C(O)CC(C)C(O)C4(C(=O)OC)O5)c(O)c3C(=O)C1=C(O)CC(C)C2O
QGQUHXSBTSDAML,3,ICTXHFFSOAJUMG;QGQUHXSBTSDAML;VIKNJXKGJWUCNN,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C;C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C
QMBUCWVILCOIEG,3,CNZIQHGDUXRUJS;QMBUCWVILCOIEG;SZINUGQCTHLQAZ,CC(O)=C1C(=O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O;CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O;CC(=O)c1c(O)c2n(c1O)C(C)(C)C1Cc3cccc4[nH]cc(c34)C21
QNJKSUYWBCNWFI,3,MHIGBKBJSQVXNH;QNJKSUYWBCNWFI;XIYOPDCBBDCGOE,C=C1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C12;C=C1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12;C=C1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12
QOXWWFVQIKDLAU,3,DKXNBNKWCZZMJT;PFCRQPBOOFTZGQ;QOXWWFVQIKDLAU,O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO;O=C(CO)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO;O=C(C(O)CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO
RCOCGNVIADBIBD,3,PPRFIMGXDRYLGD;RCOCGNVIADBIBD;XRWVZSPWRNDJNS,CCCC(=O)c1c(O)c(C)c(O)c(CC2=C(O)C(C)(C)C(=O)C(C(C)=O)=C2O)c1O;CCCC(=O)c1c(O)c(C)c(O)c(CC2C(=O)C(C(C)=O)C(=O)C(C)(C)C2=O)c1O;CCCC(=O)c1c(O)c(C)c(O)c(CC2=C(O)C(C)(C)C(O)=C(C(C)=O)C2=O)c1O
MSUDDHFTWMZEIJ,3,MSUDDHFTWMZEIJ;QNQBPPQLRODXET;YHKYFYCSTJGMID,CC=CC1C=CC2CC(C)CCC2C1(C)C(O)=C1C(=O)C(CO)N(C)C1=O;CC=CC1C=CC2CC(C)CCC2C1(C)C(=O)C1=C(O)C(CO)N(C)C1=O;CC=CC1C=CC2CC(C)CCC2C1(C)C(=O)c1c(O)c(CO)n(C)c1O
RREVZUPQWHUKAR,3,AWAWQVBWAWCQSJ;RREVZUPQWHUKAR;VXNANBMCYPZBSM,CC=CC=CC(=O)C1=C(O)C2(C)C3C(C(=O)CCC=CC)=C(O)C4(C)C1C1(C)OC4(O)C3(C)OC12O;CC=CC=CC(=O)C1C(=O)C2(C)C3C(C(=O)CCC=CC)C(=O)C4(C)C1C1(C)OC4(O)C3(C)OC12O;CC=CC=CC(O)=C1C(=O)C2(C)C3C(C(=O)CCC=CC)=C(O)C4(C)C1C1(C)OC4(O)C3(C)OC12O
SAQUSDSPQYQNBG,3,DDLZLOKCJHBUHD;JBFAMTBDRIBCKO;SAQUSDSPQYQNBG,O=C1Nc2cc(Br)ccc2C1=C1Nc2ccccc2C1=NO;ON=C1C(c2c(O)[nH]c3cc(Br)ccc23)=Nc2ccccc21;O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12
SVMHYHIZWOJKDL,3,FXLASALIDJKUIQ;SVMHYHIZWOJKDL;UIAGMCDKSXEBJQ,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1;COCCOC(O)=C1C(C)=NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1;COCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
BDLCXFQHISCSTQ,3,BDLCXFQHISCSTQ;GACFDZLPFMYBKT;SFIHBSXWWHQOQQ,C=C1C(OC(C)=O)C(=O)C2C(C)(C)C(O)CCC2(C)C1CC(OC(C)=O)C(C)=CCOC(C)=O;CC(=O)OCC=C(C)C(CC1C(C)=C(OC(C)=O)C(=O)C2C(C)(C)C(O)CCC12C)OC(C)=O;CC(=O)OCC=C(C)C(CC1=C(C)C(OC(C)=O)C(=O)C2C1(C)CCC(O)C2(C)C)OC(C)=O
UBKQWOVGKHAQPP,3,BXGLWTGIQGFBBV;GOMGANBHXVPZLC;UBKQWOVGKHAQPP,COc1cc(C)c(C(=O)OC2C(C)OC(OC3CCC(C)C4C3C=C(C)C3C(C)=CCCC(C)=CC5(C)C=C(C(=O)O)C(C)CC56OC(=O)C(=C6O)C(=O)C34C)C(O)C2O)c(OC)c1;COc1cc(C)c(C(=O)OC2C(C)OC(OC3CCC(C)C4C3C=C(C)C3C(C)=CCCC(C)=CC5(C)C=C(C(=O)O)C(C)CC56OC(=O)C(=C(O)C34C)C6=O)C(O)C2O)c(OC)c1;COc1cc(C)c(C(=O)OC2C(C)OC(OC3CCC(C)C4C3C=C(C)C3C(C)=CCCC(C)=CC5(C)C=C(C(=O)O)C(C)CC56OC(=O)C(C(=O)C34C)C6=O)C(O)C2O)c(OC)c1
UGAJIDNAJIOOHX,3,FEDYMSUPMFCVOD;HGXFBVDWWKPUKZ;KSFOVUSSGSKXFI,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C;C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5C=C)C(C)=C4CCC(=O)O)c(CCC(=O)O)c3C;C=CC1=C(C)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(C)=C5C=C)c(C)c4CCC(=O)O)c(CCC(=O)O)c3C
UQBHMWHKJIHQHK,3,KRQUFUKTQHISJB;NZYQPWCHQXECMD;UQBHMWHKJIHQHK,CCCC(NOCC(C)Oc1ccc(Cl)cc1)=C1C(=O)CC(C2CCCSC2)CC1=O;CCCC(=NOCC(C)Oc1ccc(Cl)cc1)C1=C(O)CC(C2CCCSC2)CC1=O;CCCC(=NOCC(C)Oc1ccc(Cl)cc1)C1C(=O)CC(C2CCCSC2)CC1=O
UXUYTCBNDKUTPN,3,OUMWCYMRLMEZJH;RIZAHVBYKWUPHQ;UXUYTCBNDKUTPN,CC1=CC(C)CC=CC2C3OC3(C)C(C)C3C(Cc4c[nH]c5ccccc45)NC(=O)C23C(=O)C=CC(=O)C1O;CC1=CC(C)CC=CC2C3OC3(C)C(C)C3C(Cc4c[nH]c5ccccc45)N=C(O)C23C(=O)C=CC(=O)C1O;CC1=CC(C)CC=CC2C3OC3(C)C(C)C3C(Cc4c[nH]c5ccccc45)NC(=O)C23C(=O)CCC(=O)C1=O
UXVSDVSUISWXKD,3,UXVSDVSUISWXKD;VYHIJYQMAJYKEO;ZBBHBTPTTSWHBA,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1;COC(O)=C1C(C)=NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1;COC(=O)C1=C(C)N=C(C)C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
